date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20221111,83325,25.57,84125,255.69,85395,25.61,1,False,True,B9,B2,729.9,361.64,335.24,83854.03,322.11,435.5,229.448,0.97,689.16,82855,-0.83,83995,270.93,86215,-32.4,True
20221111,80625,45.37,81115,468.13,82415,47.06,2,False,True,C1,B4,746.83,956.86,416.12,80899.54,179.29,516.72,369.0,0.984,959.49,79495,-17.82,81165,462.52,82735,-14.08,True
20221111,72235,18.01,72675,175.9,73385,17.92,1,False,True,B8,B1,653.43,248.99,230.35,72528.0,179.74,243.51,87.229,0.976,282.84,71935,4.78,72695,205.45,73495,11.91,True
20221111,66675,389.8,67015,4160.99,67435,412.51,3,True,True,C4,C4,644.97,5075.31,7454.77,66922.97,140.62,119.99,6291.369,0.99,2676.26,62575,-46.49,67015,4341.12,70375,-63.47,True
20221111,65205,84.14,65365,963.85,65875,94.47,3,True,True,C1,B9,644.97,2328.83,772.79,65289.79,54.75,206.79,6291.369,0.78,685.54,62575,-46.49,65405,927.95,70375,-63.47,True
20221111,6485,420.06,6715,3848.75,7245,386.05,2,True,True,C4,C3,631.79,6866.63,3817.3,6620.42,89.86,202.6,7870.02,0.988,2382.77,4375,-18.73,6715,3810.33,9535,-55.37,True
20221111,64005,108.83,64395,1037.06,64865,105.85,3,True,True,C1,C1,644.97,1211.56,2128.27,64301.25,169.99,121.28,6291.369,0.873,1109.43,62575,-46.49,64355,1012.98,70375,-63.47,True
20221111,5555,381.45,5745,4284.39,6375,428.03,2,True,True,C4,C4,631.79,10714.8,3372.78,5654.4,64.89,258.37,7870.02,0.99,2628.42,4375,-18.73,5755,4218.68,9535,-55.37,True
20221111,50375,16.79,50445,187.82,50915,18.35,3,True,True,B8,B1,641.97,835.46,120.27,50407.77,22.58,196.61,988.588,0.507,123.14,48055,34.18,50455,181.79,52495,-48.4,True
20221111,49735,45.8,49775,831.23,50135,84.18,3,True,True,C1,B8,641.97,4964.26,505.59,49755.76,12.38,152.35,988.588,0.937,331.46,48055,34.18,49785,800.09,52495,-48.4,True
20221111,49125,51.62,49385,477.18,50035,47.23,3,True,True,C1,B4,641.97,929.59,439.95,49268.58,96.6,255.82,988.588,0.928,530.11,48055,34.18,49405,482.94,52495,-48.4,True
20221111,43445,286.11,43615,2680.7,43835,270.79,2,True,True,C3,C2,1061.66,3340.12,4539.49,43565.22,71.41,65.85,232889.915,0.515,922.56,40375,-292.55,43615,2703.41,44455,-391.06,True
20221111,41855,1120.9,42055,11293.38,42715,1148.55,2,True,True,M1,M1,1061.66,27612.63,8993.1,41959.3,70.52,271.36,232889.915,0.967,4905.3,40375,-292.55,42045,11673.64,44455,-389.2,True
20221111,35125,75.33,35285,712.42,35715,70.92,4,True,True,C1,B7,927.88,1477.57,627.54,35211.32,58.24,171.86,184.287,0.994,422.18,34015,53.85,35275,727.57,36775,-3.1,True
20221111,34625,49.34,34825,481.46,36005,48.06,4,True,True,C1,B4,927.88,1960.34,315.34,34713.94,64.16,499.91,184.287,0.99,622.49,34015,53.85,34815,486.03,36775,7.05,True
20221111,34025,43.9,34085,359.91,34155,30.76,4,True,True,C1,B3,927.88,367.96,2238.51,34081.2,29.81,6.14,184.287,0.93,57.59,34015,74.89,34075,368.62,36775,-3.25,True
20221111,34015,69.24,34355,592.24,34835,57.5,4,True,True,C1,B5,927.88,754.47,948.95,34252.17,146.27,145.75,184.287,0.994,554.38,34015,123.09,34335,595.12,36775,-3.25,True
20221111,32735,548.88,33005,5213.88,33535,510.65,1,False,True,C6,C5,890.08,8425.33,5717.13,32899.77,105.65,195.14,10916.67,0.995,2909.3,31255,-19.16,32985,5277.88,33895,172.12,True
20221111,28615,29.33,28675,269.09,29455,58.58,2,True,True,B8,B2,618.72,3594.04,146.67,28636.06,16.55,508.22,882.062,0.888,318.51,27775,-4.69,28695,367.86,29455,46.8,True
20221111,28115,39.03,28275,378.14,29125,38.11,2,True,True,B9,B3,618.72,1409.61,254.15,28187.23,51.87,360.55,882.062,0.934,424.48,27775,-4.69,28265,369.97,29455,3.47,True
20221111,27105,77.65,27165,652.77,27555,65.26,2,True,True,C1,B6,526.78,2573.41,434.4,27133.63,21.85,162.21,79125.171,0.174,346.7,24895,118.24,25935,797.55,27655,35.24,True
20221111,25745,1216.83,26065,12745.57,26765,1291.09,2,True,True,M1,M1,526.78,22623.14,12698.0,25935.41,120.65,269.4,79125.171,0.994,6933.73,24895,118.24,26075,12151.2,27655,47.46,True
20221111,2355,32.67,2695,321.46,3065,33.57,5,True,True,C1,B3,744.86,346.71,982.91,2639.42,153.7,67.95,9461.787,0.395,312.02,55,227.61,2665,333.64,4255,-150.5,True
20221111,21895,67.54,22125,645.99,22495,64.62,2,True,True,C1,B6,664.9,904.65,860.94,22049.06,94.82,124.88,1845.615,0.929,480.75,20215,-71.78,22135,809.04,23455,-47.12,True
20221111,21175,146.59,21385,1367.07,21815,137.02,2,True,True,C2,C1,664.9,2299.02,1436.43,21299.6,81.12,162.73,1845.615,0.983,931.73,20215,-71.78,21405,1355.67,23455,-47.15,True
20221111,1785,13.27,1885,116.83,2175,12.08,5,True,True,B8,B1,744.86,256.93,98.99,1837.19,36.51,118.78,9461.787,0.038,55.78,55,227.61,105,247.18,4255,-150.5,True
20221111,16605,296.4,16865,2734.67,17735,270.19,1,False,True,C3,C2,631.61,6532.18,2205.18,16740.96,94.65,351.39,2878.451,0.995,2662.05,14935,-16.74,16855,2851.98,18295,-24.68,True
